2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"316160 SAO GERALDO DA PIEDADE";1;-;-;1
"316240 SAO JOAO DA PONTE";-;1;-;1
"316553 SARZEDO";23;-;-;23
"316720 SETE LAGOAS";14;11;-;25
"316800 TAIOBEIRAS";1;-;-;1
"316870 TIMOTEO";1;-;-;1
"316970 TURMALINA";7;2;-;9
"316990 UBA";2;1;-;3
"317090 VARZELANDIA";1;-;-;1
"320080 BAIXO GUANDU";1;-;-;1
"330030 BARRA DO PIRAI";1;-;-;1
"330100 CAMPOS DOS GOYTACAZES";3;11;-;14
"330250 MAGE";2;-;-;2
"330270 MARICA";46;-;-;46
"330340 NOVA FRIBURGO";-;1;-;1
"330350 NOVA IGUACU";1;-;-;1
"330370 PARAIBA DO SUL";-;1;-;1
"330390 PETROPOLIS";1;-;-;1
"330400 PIRAI";8;8;-;16
"330415 QUISSAMA";1;1;-;2
"330420 RESENDE";2;-;-;2
"330440 RIO CLARO";-;1;-;1
"330452 RIO DAS OSTRAS";-;2;-;2
"330475 SAO FRANCISCO DE ITABAPOANA";-;1;-;1
"330490 SAO GONCALO";2;-;-;2
"330500 SAO JOAO DA BARRA";1;-;-;1
"330560 SILVA JARDIM";2;-;-;2
"330630 VOLTA REDONDA";-;1;-;1
"350250 APARECIDA";-;43;-;43
"350320 ARARAQUARA";-;1;-;1
"350370 ARIRANHA";-;2;-;2
"350460 BADY BASSITT";-;7;-;7
"350480 BALSAMO";2;-;-;2
"350550 BARRETOS";3;1;-;4
"350610 BEBEDOURO";-;1;-;1
"350650 BIRIGUI";1;1;-;2
"350950 CAMPINAS";-;4;1;5
"351060 CARAPICUIBA";-;2;-;2
"351130 CEDRAL";2;-;-;2
"351550 FERNANDOPOLIS";-;-;1;1
"351750 GUAPIACU";1;5;-;6
"351870 GUARUJA";1;-;-;1
"351880 GUARULHOS";4;4;-;8
"351940 IBIRA";-;1;2;3
"351980 ICEM";1;-;-;1
"352050 INDAIATUBA";1;-;-;1
"352100 IPERO";-;2;-;2
"352115 IPIGUA";1;-;-;1
"352480 JALES";1;1;-;2
"353030 MIRASSOL";3;2;-;5
"353050 MOCOCA";1;-;-;1
"353270 NIPOA";1;1;-;2
"353280 NOVA ALIANCA";1;-;-;1
"353390 OLIMPIA";-;1;-;1
"353420 ORINDIUVA";1;-;-;1
"353530 PALMITAL";-;1;-;1
"353710 PEDREIRA";1;-;-;1
"353740 PEREIRA BARRETO";-;1;-;1
"353760 PERUIBE";2;1;-;3
"354100 PRAIA GRANDE";1;1;-;2
"354140 PRESIDENTE PRUDENTE";-;1;-;1
"354340 RIBEIRAO PRETO";3;4;-;7
"354370 RINCAO";-;1;-;1
"354390 RIO CLARO";2;-;-;2
"354620 SANTA CRUZ DA CONCEICAO";1;2;-;3
"354780 SANTO ANDRE";1;-;-;1
"354890 SAO CARLOS";13;2;-;15
"354940 SAO JOAQUIM DA BARRA";-;2;-;2
