2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def
Chickenpox
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"280670 SAO CRISTOVAO";-;-;1;-;-;-;-;1
"290010 ABAIRA";-;-;-;1;-;-;-;1
"290035 ADUSTINA";1;-;2;-;-;-;-;3
"290050 ERICO CARDOSO";-;-;-;1;-;3;-;4
"290070 ALAGOINHAS";-;-;1;-;-;-;-;1
"290115 AMERICA DOURADA";-;-;-;1;-;-;-;1
"290120 ANAGE";-;1;-;-;-;-;-;1
"290135 ANDORINHA";-;-;-;1;-;-;-;1
"290180 ANTONIO GONCALVES";-;-;-;1;2;-;-;3
"290280 BARRA DA ESTIVA";-;-;-;1;-;-;-;1
"290310 BARRA DO ROCHA";1;-;-;-;-;-;-;1
"290370 BOA NOVA";-;-;-;-;-;1;-;1
"290420 BOTUPORA";-;-;-;-;-;1;-;1
"290450 BROTAS DE MACAUBAS";-;-;-;-;1;-;-;1
"290515 CAETANOS";3;-;-;-;-;-;-;3
"290570 CAMACARI";7;-;2;3;-;-;-;12
"290580 CAMAMU";-;1;-;-;-;-;-;1
"290620 CANARANA";-;-;-;1;-;-;-;1
"290687 CAPIM GROSSO";-;-;-;-;1;-;-;1
"290689 CARAIBAS";-;-;-;1;-;-;-;1
"290690 CARAVELAS";-;-;1;1;-;-;-;2
"290730 CASTRO ALVES";-;2;-;-;-;-;-;2
"290750 CATU";-;1;1;1;4;1;1;9
"290800 COARACI";1;-;-;-;-;-;-;1
"290830 CONCEICAO DO ALMEIDA";-;-;2;1;-;-;-;3
"290850 CONCEICAO DO JACUIPE";-;-;-;5;-;-;-;5
"290960 CRISOPOLIS";-;-;-;1;1;1;-;3
"290980 CRUZ DAS ALMAS";-;-;-;-;2;2;-;4
"291060 ESPLANADA";-;-;-;-;-;1;-;1
"291072 EUNAPOLIS";-;1;-;-;-;-;-;1
"291075 FATIMA";-;-;2;-;-;-;1;3
"291080 FEIRA DE SANTANA";8;5;4;5;5;1;-;28
"291100 FLORESTA AZUL";-;-;1;1;1;-;-;3
"291140 GLORIA";5;1;-;1;-;-;-;7
"291150 GONGOGI";-;1;-;-;-;-;-;1
"291165 GUAJERU";-;-;-;-;1;-;-;1
"291190 IACU";-;-;-;-;-;-;1;1
"291210 IBICARAI";-;-;1;-;1;-;-;2
"291220 IBICOARA";-;-;-;-;1;-;-;1
"291300 IBITIARA";-;-;-;-;1;-;-;1
"291360 ILHEUS";-;-;-;-;-;-;1;1
"291450 IRARA";-;1;-;3;1;1;-;6
"291460 IRECE";1;-;-;-;1;1;-;3
"291480 ITABUNA";2;-;1;1;1;-;-;5
"291490 ITACARE";1;1;-;-;-;-;-;2
"291560 ITAMARAJU";-;-;-;1;-;-;-;1
"291570 ITAMARI";-;-;-;2;-;-;-;2
"291610 ITAPARICA";-;-;-;1;-;-;-;1
"291680 ITARANTIM";-;-;-;-;1;1;-;2
"291685 ITATIM";-;-;-;1;-;-;-;1
"291710 ITORORO";-;1;-;-;-;-;-;1
"291730 ITUBERA";2;-;-;-;-;-;-;2
"291733 IUIU";-;-;-;-;1;-;-;1
"291760 JAGUAQUARA";-;1;-;-;1;-;-;2
"291915 LAPAO";-;-;-;-;1;-;-;1
"291920 LAURO DE FREITAS";2;-;-;2;-;-;-;4
"291950 LIVRAMENTO DE NOSSA SENHORA";3;-;-;-;-;-;-;3
"291990 MACURURE";-;-;1;-;2;-;-;3
"291995 MAETINGA";1;-;-;-;-;-;-;1
"292060 MARAGOGIPE";-;-;-;-;1;-;-;1
"292070 MARAU";-;-;-;-;11;6;-;17
"292100 MATA DE SAO JOAO";2;-;-;2;1;-;-;5
"292170 MORRO DO CHAPEU";1;5;2;-;-;1;-;9
"292200 MUCURI";-;-;1;-;-;-;-;1
"292230 MURITIBA";1;-;-;-;-;-;-;1
"292273 NOVA FATIMA";-;-;-;-;1;-;-;1
"292280 NOVA ITARANA";2;-;-;-;-;-;-;2
"292290 NOVA SOURE";-;-;-;-;1;-;-;1
"292330 OURICANGAS";-;-;-;-;1;-;-;1
"292400 PAULO AFONSO";-;-;-;-;1;1;-;2
"292405 PE DE SERRA";1;2;-;-;-;-;-;3
"292410 PEDRAO";1;-;-;2;-;-;-;3
"292470 PIRIPA";-;2;-;-;-;-;-;2
"292575 PRESIDENTE TANCREDO NEVES";-;-;-;-;2;-;-;2
"292630 RIACHAO DO JACUIPE";-;-;-;-;2;-;-;2
"292660 RIBEIRA DO POMBAL";-;-;-;-;-;2;-;2
"292700 RIO REAL";-;-;1;4;-;-;1;6
"292710 RODELAS";1;-;-;-;-;-;-;1
"292740 SALVADOR";18;12;15;16;18;15;-;94
"292790 SANTA INES";-;-;-;1;-;-;-;1
"292810 SANTA MARIA DA VITORIA";1;-;-;-;-;-;-;1
"292860 SANTO AMARO";1;-;-;-;-;-;-;1
"292870 SANTO ANTONIO DE JESUS";1;-;-;-;-;-;-;1
"292880 SANTO ESTEVAO";7;1;4;2;1;4;-;19
"292937 SAO JOSE DO JACUIPE";2;-;-;-;-;-;-;2
"292990 SEABRA";2;-;1;1;-;1;-;5
"293070 SIMOES FILHO";-;1;1;2;-;-;-;4
"293135 TEIXEIRA DE FREITAS";2;3;1;1;4;-;-;11
"293140 TEODORO SAMPAIO";-;-;-;-;2;-;-;2
"293160 TEOLANDIA";1;-;-;-;-;-;-;1
"293170 TERRA NOVA";-;2;-;-;-;-;-;2
"293180 TREMEDAL";-;-;-;-;1;-;-;1
"293250 UNA";-;-;1;-;-;-;1;2
"293290 VALENCA";-;-;1;-;-;-;-;1
"293300 VALENTE";-;-;1;-;-;-;-;1
"293330 VITORIA DA CONQUISTA";-;-;-;2;3;1;1;7
"293340 WAGNER";-;-;-;-;1;-;-;1
"310120 AIURUOCA";-;-;-;-;-;-;1;1
"310160 ALFENAS";3;-;-;2;1;7;3;16
"310170 ALMENARA";-;-;-;-;-;1;-;1
"310240 ALVORADA DE MINAS";-;-;-;-;-;-;3;3
"310260 ANDRADAS";-;2;9;-;1;1;-;13
"310290 ANTONIO CARLOS";-;-;-;1;-;-;-;1
"310340 ARACUAI";1;-;-;2;1;-;-;4
"310350 ARAGUARI";1;2;3;-;2;3;-;11
"310400 ARAXA";-;-;-;-;3;-;-;3
"310420 ARCOS";1;-;-;1;-;-;-;2
"310430 AREADO";-;-;1;-;-;-;-;1
"310540 BARAO DE COCAIS";-;-;1;-;2;1;-;4
"310560 BARBACENA";-;-;-;-;1;-;-;1
"310600 BELA VISTA DE MINAS";-;-;-;-;-;1;-;1
"310620 BELO HORIZONTE";7;1;12;8;5;2;2;37
"310630 BELO ORIENTE";-;-;-;1;1;-;-;2
"310670 BETIM";1;8;1;4;4;4;3;25
"310690 BICAS";-;-;-;-;-;-;2;2
"310730 BOCAIUVA";-;1;1;1;-;-;-;3
"310780 BOM JESUS DO GALHO";-;-;1;1;-;-;-;2
"310790 BOM REPOUSO";-;-;-;-;1;-;-;1
"310880 BRAUNAS";-;1;-;-;-;-;-;1
"310890 BRAZOPOLIS";-;-;-;-;-;1;-;1
"310930 BURITIS";-;-;-;2;-;-;-;2
"311030 CALDAS";-;-;-;7;3;-;-;10
"311070 CAMBUQUIRA";-;-;1;1;-;-;-;2
"311210 CAPARAO";-;-;-;-;-;-;1;1
"311260 CAPINOPOLIS";1;-;-;-;-;-;-;1
"311280 CAPITOLIO";-;-;-;1;-;-;-;1
"311300 CARAI";-;-;-;-;1;-;-;1
"311350 CARBONITA";-;-;-;-;-;3;-;3
"311410 CARMO DE MINAS";-;-;1;-;-;-;-;1
"311420 CARMO DO CAJURU";-;-;1;1;2;-;-;4
"311440 CARMO DO RIO CLARO";-;-;1;-;-;-;-;1
"311460 CARRANCAS";-;-;-;1;-;-;-;1
"311550 CAXAMBU";-;-;-;-;-;1;-;1
"311560 CEDRO DO ABAETE";-;-;-;-;-;-;1;1
"311580 CENTRALINA";-;1;-;-;-;-;-;1
"311615 CHAPADA GAUCHA";-;-;1;-;1;-;-;2
"311640 CLARAVAL";-;-;1;-;-;-;-;1
"311660 CLAUDIO";-;1;-;-;1;-;1;3
"311750 CONCEICAO DO MATO DENTRO";-;-;-;-;2;3;-;5
"311780 CONCEICAO DOS OUROS";-;-;1;-;-;-;-;1
"311783 CONEGO MARINHO";-;-;-;-;-;1;-;1
"311800 CONGONHAS";-;-;-;1;-;1;-;2
"311830 CONSELHEIRO LAFAIETE";2;-;3;1;1;-;-;7
"311860 CONTAGEM";2;5;5;8;7;11;-;38
"311910 CORINTO";-;-;-;1;-;-;-;1
"311920 COROACI";-;1;-;-;2;-;-;3
"311940 CORONEL FABRICIANO";2;1;2;3;1;2;-;11
"312020 CRISTAIS";-;-;-;-;-;1;-;1
"312050 CRISTINA";-;-;1;-;-;-;-;1
"312080 CRUZILIA";-;2;-;-;-;-;-;2
"312090 CURVELO";1;-;1;-;-;-;-;2
"312120 DELFINOPOLIS";-;1;-;-;-;-;-;1
"312160 DIAMANTINA";-;-;-;-;-;-;1;1
"312210 DIVINO DAS LARANJEIRAS";-;-;1;-;-;-;-;1
"312235 DIVISA ALEGRE";-;-;-;-;-;1;-;1
"312370 ENGENHEIRO CALDAS";-;-;-;2;-;-;-;2
"312410 ESMERALDAS";1;-;-;1;2;-;-;4
"312430 ESPINOSA";-;-;2;-;-;-;-;2
"312540 FELICIO DOS SANTOS";-;-;1;-;-;-;-;1
"312570 FELIXLANDIA";-;-;-;2;3;20;7;32
"312580 FERNANDES TOURINHO";-;-;-;-;1;-;-;1
"312670 FRANCISCO SA";-;-;-;-;1;1;-;2
"312705 FRONTEIRA DOS VALES";1;-;-;-;-;-;-;1
"312760 GOUVEIA";-;1;-;-;-;-;-;1
"312770 GOVERNADOR VALADARES";1;-;-;-;1;3;-;5
"312800 GUANHAES";-;-;-;-;1;-;1;2
"312830 GUARANESIA";-;-;-;-;-;1;-;1
"312980 IBIRITE";-;-;3;-;-;-;-;3
"313010 IGARAPE";-;1;1;-;-;-;-;2
"313080 INGAI";-;1;2;-;-;-;-;3
"313090 INHAPIM";-;-;-;-;1;-;-;1
"313100 INHAUMA";-;-;1;-;-;1;-;2
"313170 ITABIRA";-;-;-;2;-;3;-;5
"313180 ITABIRINHA";-;-;-;-;-;1;-;1
"313240 ITAJUBA";1;-;-;-;2;2;2;7
"313250 ITAMARANDIBA";1;-;-;1;-;-;-;2
"313290 ITAMOGI";1;1;1;1;-;2;-;6
"313300 ITAMONTE";-;-;-;-;1;-;-;1
"313310 ITANHANDU";-;-;-;-;1;1;-;2
"313340 ITAPAGIPE";-;-;1;1;-;5;1;8
"313350 ITAPECERICA";-;-;2;-;-;-;-;2
"313360 ITAPEVA";-;1;-;-;-;-;-;1
"313420 ITUIUTABA";1;1;-;4;-;3;1;10
"313505 JAIBA";-;-;-;1;1;-;-;2
"313520 JANUARIA";1;-;-;-;-;-;-;1
"313540 JECEABA";-;-;-;-;-;1;-;1
"313580 JEQUITINHONHA";-;-;-;-;2;-;-;2
"313652 JOSE GONCALVES DE MINAS";-;-;-;-;-;1;-;1
"313657 JOSENOPOLIS";-;-;-;2;-;-;-;2
