2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"140050 SAO JOAO DA BALIZA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 ABAETETUBA";1;4;2;1;3;5;6;11;24;27;46;9;139
"150013 ABEL FIGUEIREDO";-;-;-;-;-;1;-;-;1;-;-;-;2
"150020 ACARA";-;-;-;-;-;-;4;3;2;5;2;1;17
"150030 AFUA";1;2;1;-;1;-;-;2;5;13;19;1;45
"150034 AGUA AZUL DO NORTE";1;-;-;2;2;1;-;2;3;2;1;-;14
"150040 ALENQUER";-;-;-;2;4;1;3;1;-;-;-;-;11
"150050 ALMEIRIM";4;6;-;-;9;13;14;32;32;12;17;5;144
"150060 ALTAMIRA";2;1;3;4;7;27;30;58;88;78;91;16;405
"150070 ANAJAS";2;4;6;5;7;3;2;1;14;12;20;5;81
"150080 ANANINDEUA";1;3;10;10;21;16;27;67;64;32;-;2;253
"150085 ANAPU";2;2;31;26;33;26;85;69;68;32;10;-;384
"150090 AUGUSTO CORREA";-;-;1;-;-;-;1;1;-;-;-;-;3
"150095 AURORA DO PARA";-;-;-;-;-;-;-;1;1;4;5;-;11
"150110 BAGRE";-;-;-;1;-;-;-;4;2;1;-;-;8
"150120 BAIAO";-;-;-;-;-;1;-;1;2;1;2;-;7
"150125 BANNACH";-;-;-;-;1;-;-;5;2;6;1;-;15
"150130 BARCARENA";-;1;-;3;3;6;9;24;29;18;6;-;99
"150140 BELEM";23;34;47;65;83;120;170;166;124;67;41;1;941
"150145 BELTERRA";-;1;2;-;3;5;23;23;86;74;65;47;329
"150150 BENEVIDES";5;7;9;11;3;8;16;16;7;13;17;12;124
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;1;-;1;-;-;-;-;-;2
"150170 BRAGANCA";-;-;-;-;5;3;7;11;11;12;2;2;53
"150172 BRASIL NOVO";1;3;-;1;3;3;3;1;6;7;5;-;33
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;-;-;-;-;1;3;-;1;5
"150180 BREVES";-;-;-;-;3;6;6;12;17;22;20;3;89
"150190 BUJARU";-;-;-;-;-;-;1;1;1;2;1;2;8
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;-;2;8;11;5;1;-;27
"150210 CAMETA";15;11;17;30;60;38;42;44;61;33;-;-;351
"150215 CANAA DOS CARAJAS";-;-;3;2;13;25;29;29;24;22;15;4;166
"150220 CAPANEMA";-;-;-;-;2;2;3;9;3;7;1;1;28
"150230 CAPITAO POCO";1;4;4;1;-;-;-;-;-;-;-;-;10
"150240 CASTANHAL";12;10;13;12;17;29;42;78;99;75;38;5;430
"150260 COLARES";-;-;-;2;3;8;10;11;21;18;9;1;83
"150270 CONCEICAO DO ARAGUAIA";7;5;3;1;13;14;15;17;34;6;8;3;126
"150275 CONCORDIA DO PARA";-;-;1;-;1;3;3;6;7;-;-;-;21
"150276 CUMARU DO NORTE";-;-;-;-;2;11;4;-;-;-;-;-;17
"150277 CURIONOPOLIS";-;-;-;-;-;-;-;-;2;-;-;-;2
"150280 CURRALINHO";-;-;-;-;1;-;3;8;9;16;10;-;47
"150285 CURUA";-;-;-;-;1;-;5;7;20;32;23;3;91
"150290 CURUCA";-;1;4;1;1;1;3;6;6;3;6;1;33
"150293 DOM ELISEU";-;1;-;-;-;-;1;1;1;4;1;-;9
"150300 FARO";-;-;-;-;5;3;26;18;8;-;-;-;60
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;1;-;1;2;3;1;-;-;8
"150309 GOIANESIA DO PARA";-;1;-;3;-;2;-;-;3;1;-;-;10
"150310 GURUPA";-;-;-;-;-;2;4;5;1;-;-;-;12
"150320 IGARAPE-ACU";8;6;8;11;20;16;21;36;26;17;14;1;184
