2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150520 OEIRAS DO PARA";-;5;8;10;6;10;15;10;10;7;14;7;10;112
"150530 ORIXIMINA";-;9;14;14;8;7;14;13;11;6;13;17;6;132
"150540 OUREM";-;6;3;1;1;-;2;-;-;4;-;1;-;18
"150543 OURILANDIA DO NORTE";-;6;5;6;4;6;8;1;4;1;6;4;4;55
"150548 PACAJA";-;4;9;2;4;7;6;2;6;7;6;7;2;62
"150549 PALESTINA DO PARA";-;1;1;-;1;1;-;1;-;-;1;3;1;10
"150550 PARAGOMINAS";-;23;11;23;14;19;26;15;18;33;15;29;14;240
"150553 PARAUAPEBAS";-;65;72;78;75;74;66;59;59;78;58;69;52;805
"150555 PAU D'ARCO";-;1;4;-;4;-;3;1;2;-;1;-;-;16
"150560 PEIXE-BOI";-;1;-;-;1;-;-;1;1;-;-;1;-;5
"150563 PICARRA";-;-;2;3;3;1;2;1;3;3;2;-;-;20
"150565 PLACAS";-;2;2;-;3;2;-;3;-;2;1;1;-;16
"150570 PONTA DE PEDRAS";-;8;6;2;3;8;6;2;3;4;5;5;4;56
"150580 PORTEL";-;12;15;20;15;17;16;7;9;3;18;11;7;150
"150590 PORTO DE MOZ";-;2;1;3;3;1;2;3;10;4;3;4;-;36
"150600 PRAINHA";-;4;9;10;8;11;3;7;12;9;11;7;6;97
"150610 PRIMAVERA";-;1;-;-;1;3;-;-;3;1;1;2;-;12
"150611 QUATIPURU";-;3;6;3;2;2;1;2;4;2;2;1;1;29
"150613 REDENCAO";-;15;13;22;7;21;20;22;15;21;23;13;16;208
"150616 RIO MARIA";-;3;3;5;11;5;1;1;6;7;6;5;2;55
"150618 RONDON DO PARA";-;4;4;3;2;5;4;4;2;4;4;3;4;43
"150619 RUROPOLIS";-;4;6;2;2;7;4;3;3;2;5;3;2;43
"150620 SALINOPOLIS";-;14;8;12;8;16;9;7;6;6;8;8;11;113
"150630 SALVATERRA";-;4;2;2;6;10;4;-;1;2;1;2;1;35
"150635 SANTA BARBARA DO PARA";-;7;4;4;4;8;6;7;3;4;3;4;3;57
"150640 SANTA CRUZ DO ARARI";-;2;1;2;-;1;2;3;-;-;1;-;-;12
"150650 SANTA IZABEL DO PARA";-;19;17;14;13;22;12;9;12;13;11;9;14;165
"150655 SANTA LUZIA DO PARA";-;3;4;-;2;5;4;7;4;5;3;5;1;43
"150658 SANTA MARIA DAS BARREIRAS";-;2;-;1;-;-;-;-;-;1;-;1;-;5
"150660 SANTA MARIA DO PARA";-;1;2;1;3;3;1;3;2;3;2;3;-;24
"150670 SANTANA DO ARAGUAIA";-;10;11;14;11;13;16;8;12;9;7;9;5;125
"150680 SANTAREM";-;88;66;81;76;77;72;69;82;79;54;65;56;865
"150690 SANTAREM NOVO";-;-;-;1;2;4;1;-;-;1;1;1;-;11
"150700 SANTO ANTONIO DO TAUA";-;1;4;4;1;5;4;3;4;-;3;2;4;35
"150710 SAO CAETANO DE ODIVELAS";-;3;2;5;4;4;1;4;1;2;3;2;2;33
"150715 SAO DOMINGOS DO ARAGUAIA";-;3;5;4;6;5;2;5;3;7;5;6;4;55
"150720 SAO DOMINGOS DO CAPIM";-;2;1;1;4;6;8;2;2;7;5;2;4;44
